,시가,고가,저가,현재가,거래량
378,317000,329500,316000,324500,233988
379,307000,319000,305000,315500,256790
380,307000,311500,302000,307000,378913
381,323000,326500,316000,316000,260899
382,321000,327000,319000,321500,197409
383,331500,334500,319500,324000,365895
384,355000,355500,328500,329500,487014
385,370500,373000,351000,353000,271022
386,365500,372000,365500,368500,168059
387,370500,373000,365000,365500,188182
388,360000,372500,360000,370000,252375
389,364500,367500,360000,367000,197796
390,358500,364000,354000,361000,210992
391,371000,371000,359000,360000,230425
392,354500,367000,350500,367000,286490
393,359000,363500,353000,354000,237273
394,348500,356000,348500,352000,167126
395,347000,354000,346500,350000,331687
396,343000,348500,341500,343500,180103
397,347000,351000,338000,341000,296052
398,348500,356000,346000,347000,207667
399,351500,356000,344500,352000,194487
400,358000,360500,349000,351000,272191
401,367000,368000,356500,358000,251673
402,369500,371500,364000,367500,167988
403,365500,370500,360500,368000,201113
404,362000,366000,355500,366000,229780
405,370500,370500,363000,363500,229283
406,368500,375000,366500,374000,173330
407,372500,376500,365000,366000,243083
408,366000,374500,360500,372000,271726
409,355500,366500,352500,366000,288319
410,355500,358500,354000,356500,238476
411,366000,366500,351000,354500,351978
412,364000,366500,358500,364000,306601
413,369500,372500,364000,366000,150033
414,370000,371500,364000,365500,136918
415,364000,373500,361500,367500,267621
416,368500,374500,367500,373000,169637
417,374500,376500,366500,368000,216645
418,385000,386500,369000,375000,264018
419,375500,385000,371000,385000,261641
420,384000,387500,376000,376000,212497
421,378000,386000,375000,383000,288687
422,391000,393000,376500,381000,309612
423,375500,391000,373500,391000,424377
424,374500,378000,373000,375000,230794
425,376500,382500,368500,374500,274139
426,377500,378500,372500,375000,186065
427,375500,380500,370500,377000,247627
428,376000,379500,367000,374500,341202
429,364000,374000,362000,372500,456404
430,346000,363500,344500,361500,1134542
431,335000,338500,327500,330500,243972
432,336500,341000,331000,333000,208747
433,336000,337500,331000,332500,170407
434,335000,339000,332000,336000,311545
435,323000,333000,323000,331000,326510
436,328500,329000,317000,321500,271505
437,338000,340500,327500,328000,173396
438,328000,338500,327500,335000,321145
439,326000,329500,323500,323500,323171
440,322500,328000,320000,326000,177280
441,326000,332000,324500,325500,249661
442,321000,329500,315000,322500,308046
443,320000,325000,315000,322000,287560
444,315000,324000,315000,320500,184723
445,318500,324500,317000,317500,151246
446,320000,322500,312000,317500,309321
447,332500,335000,316000,317500,370321
448,334500,336500,323000,333500,358347
449,335000,338500,332000,334000,233374
450,345500,347500,335500,335500,423651
451,347000,353500,344000,348500,224402
452,347500,353000,338500,351000,229558
453,343000,346500,336000,343000,354003
454,349500,355500,347500,349500,245404
455,350000,356500,350000,353500,273786
456,363000,365000,348000,349500,295137
